"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3830","test_详情页_刷新后状态保持","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_022_详情页_刷新后状态保持","",""
"","9054","test_拼团_倒计时格式","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_024_拼团_倒计时格式","",""
"","4019","test_拼团_不同商品独立存储","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_029_拼团_不同商品独立存储","",""
"","4074","test_拼团_正常开团","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_023_拼团_正常开团","",""
"","5669","test_网络断开_列表页访问","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_033_网络断开_列表页访问","",""
"","4554","test_列表页_正常加载","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_001_列表页_正常加载","",""
"","3978","test_同一商品同时开团","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_038_同一商品同时开团","",""
"","4239","test_列表页_商品数量验证","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_002_列表页_商品数量验证","",""
"","12318","test_拼团_过期后重新开团","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_028_拼团_过期后重新开团","",""
"","3714","test_列表页_滚动加载","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_010_列表页_滚动加载","",""
"","4165","test_拼团_模拟成功","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_027_拼团_模拟成功","",""
"","3653","test_详情页_特殊字符ID","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_014_详情页_特殊字符ID","",""
"","9190","test_拼团_倒计时递减","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_025_拼团_倒计时递减","",""
"","3739","test_localStorage满","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_039_localStorage满","",""
"","3596","test_详情页_已开团状态显示","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_017_详情页_已开团状态显示","",""
"","4184","test_列表页_点击商品跳转","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_006_列表页_点击商品跳转","",""
"","5706","test_列表页_无效商品处理","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_007_列表页_无效商品处理","",""
"","3848","test_拼团_页面关闭后状态保持","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_030_拼团_页面关闭后状态保持","",""
"","4120","test_列表页_原价显示","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_004_列表页_原价显示","",""
"","7249","test_列表页_快速连续点击","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_008_列表页_快速连续点击","",""
"","3569","test_详情页_负数ID","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_015_详情页_负数ID","",""
"","3620","test_详情页_多次开团","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_020_详情页_多次开团","",""
"","3917","test_弱网_图片加载","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_036_弱网_图片加载","",""
"","3983","test_详情页_已过期状态显示","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_019_详情页_已过期状态显示","",""
"","5600","test_详情页_无效商品ID","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_012_详情页_无效商品ID","",""
"","3808","test_详情页_切换不同商品","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_021_详情页_切换不同商品","",""
"","7177","test_快速切换页面","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_037_快速切换页面","",""
"","3925","test_列表页_拼团价显示","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_003_列表页_拼团价显示","",""
"","3763","test_列表页_返回刷新","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_009_列表页_返回刷新","",""
"","5468","test_详情页_无ID参数","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_013_详情页_无ID参数","",""
"","3730","test_详情页_已成团状态显示","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_018_详情页_已成团状态显示","",""
"","4039","test_详情页_正常显示","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_011_详情页_正常显示","",""
"","9135","test_拼团_倒计时归零","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_026_拼团_倒计时归零","",""
"","3880","test_列表页_拼团标签","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_005_列表页_拼团标签","",""
"","3962","test_网络恢复_正常访问","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_035_网络恢复_正常访问","",""
"","3844","test_拼团_清除localStorage后重置","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_032_拼团_清除localStorage后重置","",""
"","4027","test_网络断开_详情页访问","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_034_网络断开_详情页访问","",""
"","4053","test_详情页_开团按钮初始状态","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_016_详情页_开团按钮初始状态","",""
"","3842","test_内存泄漏检查","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_040_内存泄漏检查","",""
"","6774","test_拼团_连续开团成功","aitest.generated_tests","2026-04-22","passed","2026-04-22","","test_031_拼团_连续开团成功","",""
